test,005830,13812000,20150307005830.13808100,202.232.255.89,http://wordpress.ideacompo.com/?p=207,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0
test,101052,60810500,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101238,66150900,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101322,56316300,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101348,69933800,20150307101348.69931100,124.214.150.134,http://wordpress.ideacompo.com/?p=567,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,101405,26966400,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101451,07309700,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101510,05160900,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101543,15491900,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294&preview=true,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101620,51729800,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101629,11716700,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101645,01602800,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?page_id=2294,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,101648,50491300,20150302000527.64685600,192.168.1.104,http://wordpress.ideacompo.com/?p=1307,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,102053,88859500,20150307102053.88855700,202.214.167.146,http://wordpress.ideacompo.com/?p=288,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; Galaxy Nexus Build/JDQ39) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Mobile Safari/534.30 YJApp-ANDROID jp.co.yahoo.android.ybrowser/1.6.4
test,120818,46502800,20150307120818.46500400,153.191.100.124,http://wordpress.ideacompo.com/?p=807,Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,123317,71559200,20150307123317.71556800,1.66.102.195,http://wordpress.ideacompo.com/?p=304,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML&#44; like Gecko) Mobile/12B436
test,130944,99587700,20150307130944.99585100,114.165.5.168,http://wordpress.ideacompo.com/?p=557,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:36.0) Gecko/20100101 Firefox/36.0
test,131019,12930600,20150307131019.12917200,150.70.97.124,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
test,142538,25208400,20150307142538.25204500,49.96.63.69,http://wordpress.ideacompo.com/?p=265,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; SC-06D Build/JZO54K) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Mobile Safari/534.30
test,142626,50804100,20150307142538.25204500,49.96.63.69,http://wordpress.ideacompo.com/?p=265,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; SC-06D Build/JZO54K) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Mobile Safari/534.30
test,142946,63094400,20150307142538.25204500,49.96.63.69,http://wordpress.ideacompo.com/?p=265,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; SC-06D Build/JZO54K) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Mobile Safari/534.30
test,144640,45879200,20150307144640.45876000,126.67.246.229,http://wordpress.ideacompo.com/?p=2035,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,145120,11859200,20150307144640.45876000,126.67.246.229,http://wordpress.ideacompo.com/?p=2035,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,153022,24130700,20150307153022.24127900,118.21.33.125,http://wordpress.ideacompo.com/?p=243,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,154255,82972900,20150307154255.82969600,182.250.253.34,http://wordpress.ideacompo.com/?p=194,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0
test,154517,33447400,20150307154255.82969600,182.250.253.34,http://wordpress.ideacompo.com/?p=194,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0
test,154939,73222500,20150307154255.82969600,182.250.253.34,http://wordpress.ideacompo.com/?p=196,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0
test,155048,57712900,20150307154255.82969600,182.250.253.34,http://wordpress.ideacompo.com/?p=194,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:36.0) Gecko/20100101 Firefox/36.0
test,155144,66800700,20150307155144.66798300,42.127.43.33,http://wordpress.ideacompo.com/?p=288,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,163044,58114700,20150307163044.58112200,218.221.77.254,http://wordpress.ideacompo.com/?p=557,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
test,163117,16678600,20150307163117.16668300,150.70.173.55,,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)
test,170135,55891200,20150307170135.55885600,219.161.46.153,http://wordpress.ideacompo.com/?p=567,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; dtab01 Build/HuaweiMediaPad) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Safari/534.30
test,173350,22172100,20150307173350.22169600,106.160.69.142,http://wordpress.ideacompo.com/?p=253,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/600.3.18 (KHTML&#44; like Gecko) Version/8.0.3 Safari/600.3.18
test,174430,54069600,20150307174430.54067100,126.253.13.160,http://wordpress.ideacompo.com/?p=505,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2263.0 Safari/537.36
test,174555,27866700,20150307174555.27864100,122.49.192.252,http://wordpress.ideacompo.com/?p=1016,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,181946,49795900,20150307181946.49793400,182.166.251.60,http://wordpress.ideacompo.com/?p=2035,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,183348,74807800,20150302164454.43223500,110.233.213.253,http://wordpress.ideacompo.com/?p=2207,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0; SleipnirSiteUpdates/6.1.5) like Gecko
test,185605,45099800,20150307185605.45095700,182.250.253.198,http://wordpress.ideacompo.com/?p=1258,Mozilla/5.0 (iPhone; CPU iPhone OS 7_1 like Mac OS X) AppleWebKit/537.51.2 (KHTML&#44; like Gecko) Version/7.0 Mobile/11D167 Safari/9537.53
test,195651,55333900,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,195653,97733700,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/?page_id=2294,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,201320,23931600,20150307201320.23926800,218.47.180.186,http://wordpress.ideacompo.com/?p=725,Mozilla/5.0 (Linux; Android 4.2.2; 41EA04 Build/01.02.000) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.109 Safari/537.36
test,202357,39130300,20150302092202.14954400,1.72.6.54,http://wordpress.ideacompo.com/?p=720,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML&#44; like Gecko) Mobile/12B466
test,213249,43386300,20150307170135.55885600,219.161.46.153,http://wordpress.ideacompo.com/?p=567,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; dtab01 Build/HuaweiMediaPad) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Safari/534.30
test,213329,75556200,20150307213329.75551700,126.126.134.31,http://wordpress.ideacompo.com/?p=1336,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,213431,08267900,20150303115638.48640500,61.126.190.63,http://wordpress.ideacompo.com/?p=415,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,213757,64121400,20150302124839.97571200,126.65.165.18,http://wordpress.ideacompo.com/?p=415,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML&#44; like Gecko) Mobile/12B466
test,221950,41487700,20150307221950.41485300,1.72.6.54,http://wordpress.ideacompo.com/?p=415,Mozilla/5.0 (Linux; Android 4.4.4; Nexus 7 Build/KTU84P) AppleWebKit/537.36 (KHTML&#44; like Gecko) Version/4.0 Chrome/33.0.0.0 Safari/537.36
test,223454,16956600,20150307223454.16954200,49.96.244.17,http://wordpress.ideacompo.com/?p=668,Mozilla/5.0 (Linux; Android 4.4.4; SH-02G Build/S1160) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/37.0.2062.117 Mobile Safari/537.36
test,225235,39560000,20150307170135.55885600,219.161.46.153,http://wordpress.ideacompo.com/?p=567,Mozilla/5.0 (Linux; U; Android 4.1.2; ja-jp; dtab01 Build/HuaweiMediaPad) AppleWebKit/534.30 (KHTML&#44; like Gecko) Version/4.0 Safari/534.30
test,225721,93861900,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225723,75442600,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225752,68630100,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225814,08156500,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225816,11597600,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/?p=2207,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225920,15819100,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,225931,95479200,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230026,72218200,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?p=567,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230223,36185100,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?page_id=2294,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230225,28046500,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230235,07955600,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230239,40724400,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?p=2191,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230253,09697000,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230338,33272400,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=2,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230341,09578000,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230348,41569500,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=3,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230359,69318900,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=4,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230408,50419200,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=5,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230418,87174900,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=6,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230437,42087400,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=7,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230522,06915300,20150306083755.09371400,218.41.30.78,http://wordpress.ideacompo.com/?paged=8,Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/40.0.2214.115 Safari/537.36
test,230649,34187700,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/?p=2207,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230708,36276200,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/?p=2207,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230714,96130500,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,230938,38090500,20150302085033.39903600,192.168.1.105,http://wordpress.ideacompo.com/,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML&#44; like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4
test,231411,29859400,20150302000527.64685600,192.168.1.100,http://wordpress.ideacompo.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML&#44; like Gecko) Chrome/41.0.2272.76 Safari/537.36
test,232657,05168100,20150307232657.05165500,121.81.128.18,http://wordpress.ideacompo.com/?p=265,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML&#44; like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4
test,233135,00475200,20150307221950.41485300,1.72.6.54,http://wordpress.ideacompo.com/?p=869,Mozilla/5.0 (Linux; Android 4.4.4; Nexus 7 Build/KTU84P) AppleWebKit/537.36 (KHTML&#44; like Gecko) Version/4.0 Chrome/33.0.0.0 Safari/537.36
